match label: 16 	real label: 1 	State: False
match label: 21 	real label: 33 	State: False
match label: 34 	real label: 34 	State: True
match label: 31 	real label: 34 	State: False
match label: 28 	real label: 34 	State: False
match label: 36 	real label: 34 	State: False
match label: 3 	real label: 35 	State: False
match label: 35 	real label: 35 	State: True
match label: 26 	real label: 35 	State: False
match label: 35 	real label: 35 	State: True
match label: 36 	real label: 36 	State: True
match label: 36 	real label: 36 	State: True
match label: 36 	real label: 36 	State: True
match label: 16 	real label: 36 	State: False
match label: 37 	real label: 37 	State: True
match label: 36 	real label: 37 	State: False
match label: 37 	real label: 37 	State: True
match label: 37 	real label: 37 	State: True
match label: 38 	real label: 38 	State: True
match label: 38 	real label: 38 	State: True
match label: 25 	real label: 38 	State: False
match label: 37 	real label: 38 	State: False
match label: 15 	real label: 39 	State: False
match label: 15 	real label: 39 	State: False
match label: 37 	real label: 39 	State: False
match label: 21 	real label: 39 	State: False
match label: 26 	real label: 40 	State: False
match label: 26 	real label: 40 	State: False
match label: 35 	real label: 40 	State: False
match label: 5 	real label: 40 	State: False
Error count: 106 	Correct Ratio: 0.3375
=================================================
